label,koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_impact
1,6.308201629,2.97850,1.3285e+03,2.96,819.0,106.44,86.20,5191.00,4.564,0.8370,0.0300
1,9.770448600,2.45170,1.8978e+03,2.23,460.0,10.59,58.00,3906.00,4.730,0.5090,0.0900
1,21.222611950,6.50930,3.6600e+02,2.48,771.0,83.56,114.90,5945.00,4.213,1.3020,0.0200
1,7.113732570,2.17640,8.0760e+02,1.16,429.0,8.01,44.40,3561.00,4.855,0.4110,0.3340
1,15.368457370,2.47140,7.5610e+02,1.11,332.0,2.86,30.90,3561.00,4.855,0.4110,0.1150
1,105.145959000,8.59300,6.8540e+02,3.43,401.0,6.09,15.40,6077.00,4.471,0.9990,0.9640
1,6.668332410,1.91500,3.6230e+02,1.18,587.0,28.06,14.20,4201.00,4.682,0.5910,0.6440
1,42.140608900,5.08300,8.9550e+02,1.85,349.0,3.49,21.60,4500.00,4.656,0.6460,0.0450
1,10.198492550,2.42830,6.3410e+02,1.75,559.0,23.11,21.40,4500.00,4.656,0.6460,0.7140
1,17.648308510,2.08730,7.6330e+02,2.43,579.0,26.49,23.80,5029.00,4.494,0.8380,0.6530
1,16.514109890,4.15750,9.7350e+02,2.72,655.0,43.57,55.90,5527.00,4.488,0.8660,0.3950
1,4.790908090,2.60300,2.5130e+02,1.36,990.0,227.24,21.20,5527.00,4.488,0.8660,0.1100
1,99.641596200,4.44800,9.5250e+02,2.64,360.0,3.97,22.70,5527.00,4.488,0.8660,0.0280
0,16.371986610,3.84490,4.1476e+03,540.37,438.0,8.71,54.50,4187.00,4.656,0.5920,9.3030
1,5.392026903,2.98040,1.1514e+03,2.68,850.0,123.33,77.40,5198.00,4.589,0.8010,0.3140
1,3.855603916,3.21790,1.6653e+04,13.61,1212.0,508.65,1173.90,6033.00,4.460,1.0460,0.3480
1,3.314947362,1.80070,1.3982e+03,3.94,1155.0,421.03,123.50,5609.00,4.481,0.9440,0.7990
0,6.719690890,3.02310,9.6970e+02,4.37,952.0,194.18,45.40,5931.00,4.479,0.8660,0.9850
1,21.804516110,3.40970,1.1449e+03,2.60,543.0,20.48,49.90,5481.00,4.629,0.7080,0.7510
1,18.119930390,4.23090,1.5069e+03,2.95,563.0,23.77,60.70,5196.00,4.593,0.7750,0.2060
1,5.154481420,3.22800,6.9750e+02,2.94,964.0,204.10,48.10,5431.00,4.457,0.8840,0.9330
1,3.166353562,3.31290,1.4734e+03,3.82,1273.0,621.92,128.30,6007.00,4.470,0.9980,0.0320
0,23.899634407,3.81881,2.0953e+04,44.04,652.0,42.80,547.80,6192.00,4.503,0.9240,1.2450
1,5.839097610,3.19150,2.7360e+02,2.06,1097.0,341.48,25.20,5553.00,4.221,1.2500,0.3410
